model,sample.id,experiment,chrom,contigStart,contigEnd,peaks,bases
PeakSegPipeline,McGill0023,H3K36me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0001,H3K36me3,chr1,10000,177417,3,167417
PeakSegPipeline,McGill0002,H3K36me3,chr1,10000,177417,3,167417
PeakSegPipeline,McGill0079,H3K36me3,chr1,10000,177417,3,167417
PeakSegPipeline,McGill0101,H3K36me3,chr1,10000,177417,3,167417
PeakSegPipeline,McGill0104,H3K36me3,chr1,10000,177417,3,167417
PeakSegPipeline,McGill0019,H3K36me3,chr1,10000,177417,3,167417
PeakSegPipeline,McGill0036,H3K36me3,chr1,10000,177417,3,167417
PeakSegPipeline,McGill0037,H3K36me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0012,H3K36me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0013,H3K36me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0016,H3K36me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0004,H3K36me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0005,H3K36me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0007,H3K36me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0008,H3K36me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0009,H3K36me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0011,H3K36me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0024,H3K36me3,chr1,10000,177417,3,167417
PeakSegPipeline,McGill0025,H3K36me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0026,H3K36me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0027,H3K36me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0028,H3K36me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0102,H3K36me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0106,H3K36me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0107,H3K36me3,chr1,10000,177417,3,167417
macs2.default,McGill0037,H3K36me3,chr1,10000,177417,8,167417
macs2.default,McGill0025,H3K36me3,chr1,10000,177417,7,167417
macs2.broad,McGill0025,H3K36me3,chr1,10000,177417,2,167417
macs2.default,McGill0013,H3K36me3,chr1,10000,177417,22,167417
macs2.broad,McGill0013,H3K36me3,chr1,10000,177417,11,167417
macs2.broad,McGill0036,H3K36me3,chr1,10000,177417,6,167417
macs2.default,McGill0036,H3K36me3,chr1,10000,177417,15,167417
macs2.broad,McGill0106,H3K36me3,chr1,10000,177417,7,167417
macs2.default,McGill0002,H3K36me3,chr1,10000,177417,35,167417
macs2.broad,McGill0002,H3K36me3,chr1,10000,177417,10,167417
macs2.default,McGill0016,H3K36me3,chr1,10000,177417,14,167417
macs2.broad,McGill0016,H3K36me3,chr1,10000,177417,6,167417
macs2.default,McGill0005,H3K36me3,chr1,10000,177417,11,167417
macs2.broad,McGill0005,H3K36me3,chr1,10000,177417,6,167417
macs2.broad,McGill0107,H3K36me3,chr1,10000,177417,4,167417
macs2.default,McGill0107,H3K36me3,chr1,10000,177417,5,167417
macs2.default,McGill0023,H3K36me3,chr1,10000,177417,13,167417
macs2.broad,McGill0322,H3K36me3,chr1,10000,177417,2,167417
macs2.broad,McGill0001,H3K36me3,chr1,10000,177417,16,167417
macs2.broad,McGill0026,H3K36me3,chr1,10000,177417,3,167417
macs2.broad,McGill0011,H3K36me3,chr1,10000,177417,8,167417
macs2.default,McGill0102,H3K36me3,chr1,10000,177417,13,167417
macs2.broad,McGill0102,H3K36me3,chr1,10000,177417,7,167417
macs2.broad,McGill0104,H3K36me3,chr1,10000,177417,13,167417
macs2.broad,McGill0009,H3K36me3,chr1,10000,177417,9,167417
macs2.broad,McGill0027,H3K36me3,chr1,10000,177417,7,167417
macs2.broad,McGill0012,H3K36me3,chr1,10000,177417,3,167417
macs2.default,McGill0106,H3K36me3,chr1,10000,177417,12,167417
macs2.default,McGill0011,H3K36me3,chr1,10000,177417,22,167417
macs2.default,McGill0322,H3K36me3,chr1,10000,177417,6,167417
macs2.default,McGill0104,H3K36me3,chr1,10000,177417,45,167417
macs2.default,McGill0009,H3K36me3,chr1,10000,177417,13,167417
macs2.default,McGill0028,H3K36me3,chr1,10000,177417,5,167417
macs2.broad,McGill0028,H3K36me3,chr1,10000,177417,3,167417
macs2.default,McGill0027,H3K36me3,chr1,10000,177417,13,167417
macs2.default,McGill0012,H3K36me3,chr1,10000,177417,11,167417
macs2.broad,McGill0004,H3K36me3,chr1,10000,177417,4,167417
macs2.broad,McGill0007,H3K36me3,chr1,10000,177417,6,167417
macs2.default,McGill0007,H3K36me3,chr1,10000,177417,10,167417
macs2.default,McGill0024,H3K36me3,chr1,10000,177417,15,167417
macs2.broad,McGill0024,H3K36me3,chr1,10000,177417,11,167417
macs2.default,McGill0004,H3K36me3,chr1,10000,177417,4,167417
macs2.default,McGill0001,H3K36me3,chr1,10000,177417,24,167417
macs2.default,McGill0026,H3K36me3,chr1,10000,177417,5,167417
macs2.broad,McGill0029,H3K36me3,chr1,10000,177417,9,167417
macs2.default,McGill0029,H3K36me3,chr1,10000,177417,9,167417
macs2.broad,McGill0019,H3K36me3,chr1,10000,177417,5,167417
macs2.default,McGill0019,H3K36me3,chr1,10000,177417,6,167417
macs2.broad,McGill0267,H3K36me3,chr1,10000,177417,2,167417
macs2.default,McGill0267,H3K36me3,chr1,10000,177417,2,167417
macs2.broad,McGill0022,H3K4me3,chr1,10000,177417,2,167417
macs2.default,McGill0022,H3K4me3,chr1,10000,177417,3,167417
macs2.broad,McGill0036,H3K4me3,chr1,10000,177417,1,167417
macs2.default,McGill0036,H3K4me3,chr1,10000,177417,3,167417
macs2.default,McGill0015,H3K4me3,chr1,10000,177417,3,167417
macs2.broad,McGill0015,H3K4me3,chr1,10000,177417,1,167417
macs2.default,McGill0013,H3K4me3,chr1,10000,177417,3,167417
macs2.broad,McGill0013,H3K4me3,chr1,10000,177417,1,167417
macs2.broad,McGill0023,H3K4me3,chr1,10000,177417,1,167417
macs2.broad,McGill0014,H3K4me3,chr1,10000,177417,1,167417
macs2.default,McGill0014,H3K4me3,chr1,10000,177417,2,167417
macs2.default,McGill0005,H3K4me3,chr1,10000,177417,1,167417
macs2.broad,McGill0005,H3K4me3,chr1,10000,177417,1,167417
macs2.default,McGill0023,H3K4me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0022,H3K4me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0023,H3K4me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0267,H3K4me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0001,H3K4me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0002,H3K4me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0079,H3K4me3,chr1,10000,177417,3,167417
PeakSegPipeline,McGill0036,H3K4me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0037,H3K4me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0016,H3K4me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0004,H3K4me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0005,H3K4me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0007,H3K4me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0008,H3K4me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0027,H3K4me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0028,H3K4me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0106,H3K4me3,chr1,10000,177417,1,167417
macs2.broad,McGill0024,H3K4me3,chr1,10000,177417,1,167417
macs2.default,McGill0024,H3K4me3,chr1,10000,177417,1,167417
macs2.broad,McGill0007,H3K4me3,chr1,10000,177417,1,167417
macs2.broad,McGill0003,H3K4me3,chr1,10000,177417,3,167417
macs2.default,McGill0003,H3K4me3,chr1,10000,177417,3,167417
macs2.broad,McGill0091,H3K4me3,chr1,10000,177417,4,167417
macs2.default,McGill0091,H3K4me3,chr1,10000,177417,4,167417
macs2.broad,McGill0008,H3K4me3,chr1,10000,177417,1,167417
macs2.default,McGill0008,H3K4me3,chr1,10000,177417,1,167417
macs2.default,McGill0107,H3K4me3,chr1,10000,177417,1,167417
macs2.broad,McGill0107,H3K4me3,chr1,10000,177417,1,167417
macs2.default,McGill0027,H3K4me3,chr1,10000,177417,1,167417
macs2.broad,McGill0027,H3K4me3,chr1,10000,177417,1,167417
macs2.broad,McGill0106,H3K4me3,chr1,10000,177417,1,167417
macs2.default,McGill0106,H3K4me3,chr1,10000,177417,1,167417
macs2.broad,McGill0009,H3K4me3,chr1,10000,177417,1,167417
macs2.default,McGill0009,H3K4me3,chr1,10000,177417,1,167417
macs2.broad,McGill0102,H3K4me3,chr1,10000,177417,2,167417
macs2.default,McGill0102,H3K4me3,chr1,10000,177417,2,167417
macs2.broad,McGill0011,H3K4me3,chr1,10000,177417,1,167417
macs2.default,McGill0011,H3K4me3,chr1,10000,177417,1,167417
macs2.broad,McGill0267,H3K4me3,chr1,10000,177417,1,167417
macs2.default,McGill0267,H3K4me3,chr1,10000,177417,1,167417
macs2.broad,McGill0001,H3K4me3,chr1,10000,177417,2,167417
macs2.default,McGill0001,H3K4me3,chr1,10000,177417,3,167417
macs2.broad,McGill0322,H3K4me3,chr1,10000,177417,2,167417
macs2.default,McGill0007,H3K4me3,chr1,10000,177417,1,167417
macs2.default,McGill0322,H3K4me3,chr1,10000,177417,3,167417
PeakSegPipeline,McGill0029,H3K36me3,chr1,10000,177417,2,167417
macs2.broad,McGill0010,H3K36me3,chr1,10000,177417,1,167417
macs2.default,McGill0010,H3K36me3,chr1,10000,177417,1,167417
macs2.broad,McGill0101,H3K36me3,chr1,227417,267719,3,40302
macs2.default,McGill0101,H3K36me3,chr1,227417,267719,5,40302
macs2.broad,McGill0029,H3K36me3,chr1,227417,267719,1,40302
macs2.default,McGill0029,H3K36me3,chr1,227417,267719,1,40302
macs2.broad,McGill0002,H3K4me3,chr1,227417,267719,3,40302
macs2.default,McGill0002,H3K4me3,chr1,227417,267719,5,40302
PeakSegPipeline,McGill0002,H3K4me3,chr1,227417,267719,3,40302
macs2.default,McGill0079,H3K4me3,chr1,227417,267719,3,40302
macs2.broad,McGill0079,H3K4me3,chr1,227417,267719,3,40302
macs2.broad,McGill0104,H3K4me3,chr1,227417,267719,1,40302
macs2.default,McGill0058,H3K4me3,chr1,227417,267719,1,40302
macs2.broad,McGill0058,H3K4me3,chr1,227417,267719,1,40302
macs2.default,McGill0101,H3K4me3,chr1,227417,267719,2,40302
macs2.broad,McGill0101,H3K4me3,chr1,227417,267719,1,40302
macs2.default,McGill0104,H3K4me3,chr1,227417,267719,1,40302
PeakSegPipeline,McGill0001,H3K4me3,chr1,227417,267719,2,40302
PeakSegPipeline,McGill0058,H3K4me3,chr1,227417,267719,2,40302
PeakSegPipeline,McGill0079,H3K4me3,chr1,227417,267719,2,40302
PeakSegPipeline,McGill0101,H3K4me3,chr1,227417,267719,2,40302
PeakSegPipeline,McGill0104,H3K4me3,chr1,227417,267719,2,40302
macs2.broad,McGill0001,H3K4me3,chr1,227417,267719,1,40302
macs2.default,McGill0001,H3K4me3,chr1,227417,267719,1,40302
macs2.broad,McGill0036,H3K36me3,chr1,227417,267719,4,40302
PeakSegPipeline,McGill0001,H3K36me3,chr1,227417,267719,1,40302
PeakSegPipeline,McGill0002,H3K36me3,chr1,227417,267719,1,40302
PeakSegPipeline,McGill0079,H3K36me3,chr1,227417,267719,1,40302
PeakSegPipeline,McGill0101,H3K36me3,chr1,227417,267719,1,40302
PeakSegPipeline,McGill0104,H3K36me3,chr1,227417,267719,1,40302
PeakSegPipeline,McGill0036,H3K36me3,chr1,227417,267719,1,40302
PeakSegPipeline,McGill0016,H3K36me3,chr1,227417,267719,1,40302
macs2.default,McGill0036,H3K36me3,chr1,227417,267719,6,40302
macs2.default,McGill0104,H3K36me3,chr1,227417,267719,6,40302
macs2.broad,McGill0104,H3K36me3,chr1,227417,267719,2,40302
macs2.broad,McGill0019,H3K36me3,chr1,227417,267719,3,40302
macs2.default,McGill0019,H3K36me3,chr1,227417,267719,3,40302
macs2.broad,McGill0002,H3K36me3,chr1,227417,267719,3,40302
macs2.default,McGill0002,H3K36me3,chr1,227417,267719,4,40302
macs2.broad,McGill0001,H3K36me3,chr1,227417,267719,1,40302
macs2.default,McGill0001,H3K36me3,chr1,227417,267719,1,40302
macs2.broad,McGill0079,H3K36me3,chr1,227417,267719,1,40302
macs2.default,McGill0079,H3K36me3,chr1,227417,267719,1,40302
macs2.broad,McGill0022,H3K36me3,chr1,227417,267719,1,40302
macs2.broad,McGill0106,H3K36me3,chr1,227417,267719,1,40302
macs2.broad,McGill0011,H3K36me3,chr1,227417,267719,2,40302
macs2.default,McGill0011,H3K36me3,chr1,227417,267719,2,40302
macs2.default,McGill0106,H3K36me3,chr1,227417,267719,1,40302
macs2.broad,McGill0009,H3K36me3,chr1,227417,267719,1,40302
macs2.default,McGill0009,H3K36me3,chr1,227417,267719,1,40302
macs2.default,McGill0022,H3K36me3,chr1,227417,267719,1,40302
macs2.default,McGill0079,H3K36me3,chr1,317719,471368,3,153649
macs2.broad,McGill0079,H3K36me3,chr1,317719,471368,2,153649
macs2.default,McGill0002,H3K36me3,chr1,317719,471368,9,153649
macs2.broad,McGill0002,H3K36me3,chr1,317719,471368,2,153649
macs2.broad,McGill0104,H3K36me3,chr1,317719,471368,2,153649
macs2.default,McGill0104,H3K36me3,chr1,317719,471368,7,153649
macs2.broad,McGill0001,H3K36me3,chr1,317719,471368,2,153649
macs2.broad,McGill0036,H3K36me3,chr1,317719,471368,1,153649
macs2.default,McGill0036,H3K36me3,chr1,317719,471368,3,153649
macs2.default,McGill0001,H3K36me3,chr1,317719,471368,3,153649
macs2.default,McGill0013,H3K36me3,chr1,317719,471368,8,153649
macs2.broad,McGill0013,H3K36me3,chr1,317719,471368,3,153649
macs2.default,McGill0037,H3K36me3,chr1,317719,471368,5,153649
macs2.broad,McGill0037,H3K36me3,chr1,317719,471368,2,153649
macs2.default,McGill0016,H3K36me3,chr1,317719,471368,5,153649
macs2.broad,McGill0016,H3K36me3,chr1,317719,471368,3,153649
macs2.broad,McGill0022,H3K36me3,chr1,317719,471368,1,153649
macs2.default,McGill0011,H3K36me3,chr1,317719,471368,6,153649
macs2.broad,McGill0011,H3K36me3,chr1,317719,471368,2,153649
macs2.broad,McGill0322,H3K36me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0322,H3K36me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0022,H3K36me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0023,H3K36me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0079,H3K36me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0104,H3K36me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0036,H3K36me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0037,H3K36me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0012,H3K36me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0013,H3K36me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0016,H3K36me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0005,H3K36me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0009,H3K36me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0011,H3K36me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0024,H3K36me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0102,H3K36me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0106,H3K36me3,chr1,317719,471368,1,153649
macs2.broad,McGill0027,H3K36me3,chr1,317719,471368,1,153649
macs2.broad,McGill0023,H3K36me3,chr1,317719,471368,2,153649
macs2.default,McGill0023,H3K36me3,chr1,317719,471368,2,153649
macs2.default,McGill0027,H3K36me3,chr1,317719,471368,1,153649
macs2.default,McGill0009,H3K36me3,chr1,317719,471368,4,153649
macs2.broad,McGill0009,H3K36me3,chr1,317719,471368,2,153649
macs2.default,McGill0102,H3K36me3,chr1,317719,471368,3,153649
macs2.broad,McGill0102,H3K36me3,chr1,317719,471368,1,153649
macs2.broad,McGill0024,H3K36me3,chr1,317719,471368,1,153649
macs2.default,McGill0022,H3K36me3,chr1,317719,471368,3,153649
macs2.broad,McGill0005,H3K36me3,chr1,317719,471368,1,153649
macs2.default,McGill0008,H3K36me3,chr1,317719,471368,2,153649
macs2.broad,McGill0008,H3K36me3,chr1,317719,471368,1,153649
macs2.broad,McGill0101,H3K36me3,chr1,317719,471368,2,153649
macs2.default,McGill0024,H3K36me3,chr1,317719,471368,2,153649
macs2.broad,McGill0029,H3K36me3,chr1,317719,471368,3,153649
macs2.default,McGill0029,H3K36me3,chr1,317719,471368,3,153649
macs2.default,McGill0005,H3K36me3,chr1,317719,471368,2,153649
macs2.default,McGill0107,H3K36me3,chr1,317719,471368,1,153649
macs2.broad,McGill0107,H3K36me3,chr1,317719,471368,1,153649
macs2.default,McGill0106,H3K36me3,chr1,317719,471368,1,153649
macs2.broad,McGill0106,H3K36me3,chr1,317719,471368,1,153649
macs2.default,McGill0322,H3K36me3,chr1,317719,471368,2,153649
macs2.default,McGill0101,H3K36me3,chr1,317719,471368,2,153649
macs2.default,McGill0019,H3K36me3,chr1,317719,471368,2,153649
macs2.broad,McGill0019,H3K36me3,chr1,317719,471368,2,153649
macs2.broad,McGill0091,H3K4me3,chr1,317719,471368,1,153649
macs2.default,McGill0091,H3K4me3,chr1,317719,471368,1,153649
macs2.broad,McGill0101,H3K4me3,chr1,317719,471368,4,153649
macs2.default,McGill0101,H3K4me3,chr1,317719,471368,4,153649
macs2.broad,McGill0001,H3K4me3,chr1,317719,471368,1,153649
macs2.default,McGill0001,H3K4me3,chr1,317719,471368,1,153649
macs2.broad,McGill0022,H3K4me3,chr1,317719,471368,2,153649
macs2.default,McGill0022,H3K4me3,chr1,317719,471368,2,153649
macs2.broad,McGill0079,H3K4me3,chr1,317719,471368,2,153649
macs2.default,McGill0079,H3K4me3,chr1,317719,471368,2,153649
macs2.broad,McGill0104,H3K4me3,chr1,317719,471368,2,153649
macs2.default,McGill0104,H3K4me3,chr1,317719,471368,2,153649
macs2.broad,McGill0058,H3K4me3,chr1,317719,471368,1,153649
macs2.broad,McGill0002,H3K4me3,chr1,317719,471368,2,153649
macs2.default,McGill0002,H3K4me3,chr1,317719,471368,2,153649
macs2.default,McGill0058,H3K4me3,chr1,317719,471368,1,153649
macs2.broad,McGill0014,H3K4me3,chr1,317719,471368,1,153649
macs2.default,McGill0014,H3K4me3,chr1,317719,471368,1,153649
macs2.broad,McGill0012,H3K4me3,chr1,317719,471368,1,153649
macs2.default,McGill0012,H3K4me3,chr1,317719,471368,1,153649
macs2.broad,McGill0036,H3K4me3,chr1,317719,471368,1,153649
macs2.default,McGill0036,H3K4me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0022,H3K4me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0002,H3K4me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0079,H3K4me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0104,H3K4me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0019,H3K4me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0036,H3K4me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0037,H3K4me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0012,H3K4me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0013,H3K4me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0014,H3K4me3,chr1,317719,471368,1,153649
PeakSegPipeline,McGill0016,H3K4me3,chr1,317719,471368,1,153649
macs2.broad,McGill0019,H3K4me3,chr1,317719,471368,1,153649
macs2.default,McGill0019,H3K4me3,chr1,317719,471368,1,153649
macs2.broad,McGill0011,H3K4me3,chr1,317719,471368,1,153649
macs2.default,McGill0011,H3K4me3,chr1,317719,471368,1,153649
macs2.broad,McGill0102,H3K4me3,chr1,317719,471368,1,153649
macs2.default,McGill0102,H3K4me3,chr1,317719,471368,1,153649
macs2.broad,McGill0013,H3K4me3,chr1,317719,471368,1,153649
macs2.default,McGill0013,H3K4me3,chr1,317719,471368,1,153649
macs2.broad,McGill0016,H3K4me3,chr1,317719,471368,1,153649
macs2.default,McGill0016,H3K4me3,chr1,317719,471368,1,153649
macs2.broad,McGill0037,H3K4me3,chr1,317719,471368,1,153649
macs2.default,McGill0037,H3K4me3,chr1,317719,471368,1,153649
macs2.broad,McGill0005,H3K4me3,chr1,317719,471368,1,153649
macs2.default,McGill0005,H3K4me3,chr1,317719,471368,1,153649
macs2.broad,McGill0009,H3K4me3,chr1,317719,471368,1,153649
macs2.default,McGill0009,H3K4me3,chr1,317719,471368,1,153649
macs2.broad,McGill0015,H3K4me3,chr1,317719,471368,1,153649
macs2.default,McGill0015,H3K4me3,chr1,317719,471368,1,153649
macs2.broad,McGill0012,H3K4me3,chr1,521368,2634220,144,2112852
macs2.default,McGill0012,H3K4me3,chr1,521368,2634220,237,2112852
macs2.broad,McGill0036,H3K4me3,chr1,521368,2634220,107,2112852
macs2.default,McGill0036,H3K4me3,chr1,521368,2634220,160,2112852
PeakSegPipeline,McGill0022,H3K4me3,chr1,521368,2634220,156,2112852
PeakSegPipeline,McGill0002,H3K4me3,chr1,521368,2634220,92,2112852
PeakSegPipeline,McGill0079,H3K4me3,chr1,521368,2634220,127,2112852
PeakSegPipeline,McGill0101,H3K4me3,chr1,521368,2634220,87,2112852
PeakSegPipeline,McGill0104,H3K4me3,chr1,521368,2634220,88,2112852
PeakSegPipeline,McGill0019,H3K4me3,chr1,521368,2634220,131,2112852
PeakSegPipeline,McGill0036,H3K4me3,chr1,521368,2634220,122,2112852
PeakSegPipeline,McGill0037,H3K4me3,chr1,521368,2634220,111,2112852
PeakSegPipeline,McGill0012,H3K4me3,chr1,521368,2634220,140,2112852
PeakSegPipeline,McGill0013,H3K4me3,chr1,521368,2634220,141,2112852
PeakSegPipeline,McGill0014,H3K4me3,chr1,521368,2634220,117,2112852
PeakSegPipeline,McGill0005,H3K4me3,chr1,521368,2634220,114,2112852
PeakSegPipeline,McGill0024,H3K4me3,chr1,521368,2634220,62,2112852
PeakSegPipeline,McGill0001,H3K4me3,chr1,521368,2634220,62,2112852
PeakSegPipeline,McGill0009,H3K4me3,chr1,521368,2634220,87,2112852
PeakSegPipeline,McGill0011,H3K4me3,chr1,521368,2634220,97,2112852
PeakSegPipeline,McGill0095,H3K4me3,chr1,521368,2634220,55,2112852
PeakSegPipeline,McGill0102,H3K4me3,chr1,521368,2634220,103,2112852
macs2.broad,McGill0079,H3K4me3,chr1,521368,2634220,94,2112852
macs2.default,McGill0079,H3K4me3,chr1,521368,2634220,134,2112852
macs2.broad,McGill0002,H3K4me3,chr1,521368,2634220,66,2112852
macs2.default,McGill0002,H3K4me3,chr1,521368,2634220,91,2112852
macs2.broad,McGill0016,H3K4me3,chr1,521368,2634220,115,2112852
macs2.default,McGill0016,H3K4me3,chr1,521368,2634220,190,2112852
macs2.default,McGill0019,H3K4me3,chr1,521368,2634220,216,2112852
macs2.broad,McGill0019,H3K4me3,chr1,521368,2634220,129,2112852
macs2.broad,McGill0022,H3K4me3,chr1,521368,2634220,123,2112852
macs2.default,McGill0022,H3K4me3,chr1,521368,2634220,203,2112852
macs2.broad,McGill0037,H3K4me3,chr1,521368,2634220,121,2112852
macs2.default,McGill0037,H3K4me3,chr1,521368,2634220,188,2112852
macs2.broad,McGill0014,H3K4me3,chr1,521368,2634220,111,2112852
macs2.default,McGill0014,H3K4me3,chr1,521368,2634220,158,2112852
macs2.default,McGill0005,H3K4me3,chr1,521368,2634220,141,2112852
macs2.broad,McGill0005,H3K4me3,chr1,521368,2634220,93,2112852
